// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\0fd86cdf-f124-4bd2-a81a-5c47c5112d0b
// command took 27.83s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\0fd86cdf-f124-4bd2-a81a-5c47c5112d0b
// command took 47.1s and exited with 0
// ***** Done, took 00:01:15 (75.47 sec)   *****
// Found 4 benchmarks:
//   BenchMarkFinder.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchMarkFinder.GrpcGetLargePayloadAsync: DefaultJob [IterationCount=100]
//   BenchMarkFinder.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=200]
//   BenchMarkFinder.GrpcGetLargePayloadAsync: DefaultJob [IterationCount=200]

// **************************
// Benchmark: BenchMarkFinder.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0fd86cdf-f124-4bd2-a81a-5c47c5112d0b.dll" --benchmarkName "GetDataCilent.BenchMarkFinder.GrpcGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 0 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\0fd86cdf-f124-4bd2-a81a-5c47c5112d0b\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 947327.10 ns, 947.3271 us/op
WorkloadJitting  1: 1 op, 69111677601.48 ns, 69.1117 s/op

WorkloadWarmup   1: 1 op, 44325757603.27 ns, 44.3258 s/op
WorkloadWarmup   2: 1 op, 37287330931.72 ns, 37.2873 s/op
WorkloadWarmup   3: 1 op, 50495594831.19 ns, 50.4956 s/op
WorkloadWarmup   4: 1 op, 45870235183.52 ns, 45.8702 s/op
WorkloadWarmup   5: 1 op, 42514647252.65 ns, 42.5146 s/op
WorkloadWarmup   6: 1 op, 36682548200.96 ns, 36.6825 s/op
WorkloadWarmup   7: 1 op, 47347205021.87 ns, 47.3472 s/op
WorkloadWarmup   8: 1 op, 38392644875.26 ns, 38.3926 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 41417323989.50 ns, 41.4173 s/op
WorkloadActual   2: 1 op, 48310488344.19 ns, 48.3105 s/op
WorkloadActual   3: 1 op, 44348282533.12 ns, 44.3483 s/op
WorkloadActual   4: 1 op, 30812053487.24 ns, 30.8121 s/op
WorkloadActual   5: 1 op, 30753306355.98 ns, 30.7533 s/op
WorkloadActual   6: 1 op, 32197624558.43 ns, 32.1976 s/op
WorkloadActual   7: 1 op, 34642051992.64 ns, 34.6421 s/op
WorkloadActual   8: 1 op, 63384252747.21 ns, 63.3843 s/op
WorkloadActual   9: 1 op, 29775815641.37 ns, 29.7758 s/op
WorkloadActual  10: 1 op, 24934459267.87 ns, 24.9345 s/op
WorkloadActual  11: 1 op, 23806430984.94 ns, 23.8064 s/op
WorkloadActual  12: 1 op, 20048776590.32 ns, 20.0488 s/op
WorkloadActual  13: 1 op, 31839898087.61 ns, 31.8399 s/op
WorkloadActual  14: 1 op, 24606409473.83 ns, 24.6064 s/op
WorkloadActual  15: 1 op, 28132490581.90 ns, 28.1325 s/op
WorkloadActual  16: 1 op, 20709025588.45 ns, 20.7090 s/op
WorkloadActual  17: 1 op, 27216809678.33 ns, 27.2168 s/op
WorkloadActual  18: 1 op, 28189919389.20 ns, 28.1899 s/op
WorkloadActual  19: 1 op, 26941576094.17 ns, 26.9416 s/op
WorkloadActual  20: 1 op, 28395715935.96 ns, 28.3957 s/op
WorkloadActual  21: 1 op, 21041218367.14 ns, 21.0412 s/op
WorkloadActual  22: 1 op, 31033890899.54 ns, 31.0339 s/op
WorkloadActual  23: 1 op, 23327553641.59 ns, 23.3276 s/op
WorkloadActual  24: 1 op, 28095787313.75 ns, 28.0958 s/op
WorkloadActual  25: 1 op, 24370169951.77 ns, 24.3702 s/op
WorkloadActual  26: 1 op, 23799090387.19 ns, 23.7991 s/op
WorkloadActual  27: 1 op, 23763710192.22 ns, 23.7637 s/op
WorkloadActual  28: 1 op, 7602327949.50 ns, 7.6023 s/op
WorkloadActual  29: 1 op, 7339090582.74 ns, 7.3391 s/op
WorkloadActual  30: 1 op, 7167034637.08 ns, 7.1670 s/op
WorkloadActual  31: 1 op, 7078895781.45 ns, 7.0789 s/op
WorkloadActual  32: 1 op, 7008803353.50 ns, 7.0088 s/op
WorkloadActual  33: 1 op, 7466765748.16 ns, 7.4668 s/op
WorkloadActual  34: 1 op, 7200695060.41 ns, 7.2007 s/op
WorkloadActual  35: 1 op, 7266912414.85 ns, 7.2669 s/op
WorkloadActual  36: 1 op, 7317733678.44 ns, 7.3177 s/op
WorkloadActual  37: 1 op, 8279492505.33 ns, 8.2795 s/op
WorkloadActual  38: 1 op, 7798066514.04 ns, 7.7981 s/op
WorkloadActual  39: 1 op, 7100795212.80 ns, 7.1008 s/op
WorkloadActual  40: 1 op, 6982266181.88 ns, 6.9823 s/op
WorkloadActual  41: 1 op, 7037400284.11 ns, 7.0374 s/op
WorkloadActual  42: 1 op, 7302454362.22 ns, 7.3025 s/op
