// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\dcc1a241-ade0-4dcf-88e0-7fe10b482017
// command took 14.61s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\dcc1a241-ade0-4dcf-88e0-7fe10b482017
// command took 39.62s and exited with 0
// ***** Done, took 00:00:55 (55.98 sec)   *****
// Found 4 benchmarks:
//   BenchMarkFinder.NugetGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchMarkFinder.NugetGetLargePayloadAsync: DefaultJob [IterationCount=100]
//   BenchMarkFinder.NugetGetSmallPayloadAsync: DefaultJob [IterationCount=200]
//   BenchMarkFinder.NugetGetLargePayloadAsync: DefaultJob [IterationCount=200]

// **************************
// Benchmark: BenchMarkFinder.NugetGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "dcc1a241-ade0-4dcf-88e0-7fe10b482017.dll" --benchmarkName "GetDataCilent.BenchMarkFinder.NugetGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 0 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\dcc1a241-ade0-4dcf-88e0-7fe10b482017\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 682488.98 ns, 682.4890 us/op
WorkloadJitting  1: 1 op, 4900774819.15 ns, 4.9008 s/op

WorkloadWarmup   1: 1 op, 2163167944.53 ns, 2.1632 s/op
WorkloadWarmup   2: 1 op, 2192479770.47 ns, 2.1925 s/op
WorkloadWarmup   3: 1 op, 2162092947.57 ns, 2.1621 s/op
WorkloadWarmup   4: 1 op, 2186303287.15 ns, 2.1863 s/op
WorkloadWarmup   5: 1 op, 2193545827.75 ns, 2.1935 s/op
WorkloadWarmup   6: 1 op, 2154249771.97 ns, 2.1542 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 2178310092.48 ns, 2.1783 s/op
WorkloadActual   2: 1 op, 2264510154.22 ns, 2.2645 s/op
WorkloadActual   3: 1 op, 2275216542.88 ns, 2.2752 s/op
WorkloadActual   4: 1 op, 2183654626.50 ns, 2.1837 s/op
WorkloadActual   5: 1 op, 2216052040.13 ns, 2.2161 s/op
WorkloadActual   6: 1 op, 2172468847.30 ns, 2.1725 s/op
WorkloadActual   7: 1 op, 2191976633.90 ns, 2.1920 s/op
WorkloadActual   8: 1 op, 2204142146.56 ns, 2.2041 s/op
WorkloadActual   9: 1 op, 2194984837.46 ns, 2.1950 s/op
WorkloadActual  10: 1 op, 2217044065.66 ns, 2.2170 s/op
WorkloadActual  11: 1 op, 2181256835.72 ns, 2.1813 s/op
WorkloadActual  12: 1 op, 2216236141.74 ns, 2.2162 s/op
WorkloadActual  13: 1 op, 2213293588.99 ns, 2.2133 s/op
WorkloadActual  14: 1 op, 2221075862.99 ns, 2.2211 s/op
WorkloadActual  15: 1 op, 2208465880.44 ns, 2.2085 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 2178310092.48 ns, 2.1783 s/op
WorkloadResult   2: 1 op, 2264510154.22 ns, 2.2645 s/op
WorkloadResult   3: 1 op, 2183654626.50 ns, 2.1837 s/op
WorkloadResult   4: 1 op, 2216052040.13 ns, 2.2161 s/op
WorkloadResult   5: 1 op, 2172468847.30 ns, 2.1725 s/op
WorkloadResult   6: 1 op, 2191976633.90 ns, 2.1920 s/op
WorkloadResult   7: 1 op, 2204142146.56 ns, 2.2041 s/op
WorkloadResult   8: 1 op, 2194984837.46 ns, 2.1950 s/op
WorkloadResult   9: 1 op, 2217044065.66 ns, 2.2170 s/op
WorkloadResult  10: 1 op, 2181256835.72 ns, 2.1813 s/op
WorkloadResult  11: 1 op, 2216236141.74 ns, 2.2162 s/op
WorkloadResult  12: 1 op, 2213293588.99 ns, 2.2133 s/op
WorkloadResult  13: 1 op, 2221075862.99 ns, 2.2211 s/op
WorkloadResult  14: 1 op, 2208465880.44 ns, 2.2085 s/op

// AfterAll
// Benchmark Process 7112 has exited with code 0

Mean = 2.2045 s, StdErr = 0.0063 s (0.29%); N = 14, StdDev = 0.0237 s
Min = 2.1725 s, Q1 = 2.1837 s, Median = 2.2063 s, Q3 = 2.2162 s, Max = 2.2645 s
IQR = 0.0326 s, LowerFence = 2.1348 s, UpperFence = 2.2651 s
ConfidenceInterval = [2.1777 s; 2.2313 s] (CI 99.9%), Margin = 0.0268 s (1.22% of Mean)
Skewness = 0.8, Kurtosis = 3.4, MValue = 2

// **************************
// Benchmark: BenchMarkFinder.NugetGetLargePayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "dcc1a241-ade0-4dcf-88e0-7fe10b482017.dll" --benchmarkName "GetDataCilent.BenchMarkFinder.NugetGetLargePayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 1 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\dcc1a241-ade0-4dcf-88e0-7fe10b482017\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 777752.48 ns, 777.7525 us/op
WorkloadJitting  1: 1 op, 3720961742.34 ns, 3.7210 s/op

WorkloadWarmup   1: 1 op, 2165921367.10 ns, 2.1659 s/op
WorkloadWarmup   2: 1 op, 2124222212.60 ns, 2.1242 s/op
WorkloadWarmup   3: 1 op, 2113745741.43 ns, 2.1137 s/op
WorkloadWarmup   4: 1 op, 2151759511.33 ns, 2.1518 s/op
WorkloadWarmup   5: 1 op, 2125458682.60 ns, 2.1255 s/op
WorkloadWarmup   6: 1 op, 2170615539.13 ns, 2.1706 s/op
WorkloadWarmup   7: 1 op, 2102882070.21 ns, 2.1029 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 2094515364.38 ns, 2.0945 s/op
WorkloadActual   2: 1 op, 2118773754.76 ns, 2.1188 s/op
WorkloadActual   3: 1 op, 2126770581.18 ns, 2.1268 s/op
WorkloadActual   4: 1 op, 2157592934.30 ns, 2.1576 s/op
WorkloadActual   5: 1 op, 2138424576.31 ns, 2.1384 s/op
WorkloadActual   6: 1 op, 2136106125.22 ns, 2.1361 s/op
WorkloadActual   7: 1 op, 2135778988.67 ns, 2.1358 s/op
WorkloadActual   8: 1 op, 2153782394.13 ns, 2.1538 s/op
WorkloadActual   9: 1 op, 2157584832.71 ns, 2.1576 s/op
WorkloadActual  10: 1 op, 2173062218.80 ns, 2.1731 s/op
WorkloadActual  11: 1 op, 2195057193.02 ns, 2.1951 s/op
WorkloadActual  12: 1 op, 2173191285.48 ns, 2.1732 s/op
WorkloadActual  13: 1 op, 2139867497.13 ns, 2.1399 s/op
